Question,Answer,ResponseTime,Context
What university in Pittsburgh was founded by Andrew Carnegie and Andrew Mellon?,University of Pittsburgh,0.7700531482696533,Không tìm thấy ngữ cảnh
What are the two main rivers that meet in Pittsburgh?,The two main rivers that meet in Pittsburgh are the Allegheny River and the Monongahela River,2.0624070167541504,Không tìm thấy ngữ cảnh
What is the traditional cultural center of Pittsburgh where many universities are located?,Oakland,0.5491292476654053,Không tìm thấy ngữ cảnh
What nickname is given to Pittsburgh due to its historic steel industry?,Steel City,0.5986676216125488,Không tìm thấy ngữ cảnh
Which major tech companies have offices near Carnegie Mellon University?,Google,0.4581179618835449,Không tìm thấy ngữ cảnh
Which university in Pittsburgh is known for one of the largest research programs in the U.S.?,University of Pittsburgh,0.678990364074707,Không tìm thấy ngữ cảnh
What private Catholic university in Pittsburgh is known for its dance troupe?,Carnegie Mellon University,0.9570379257202148,Không tìm thấy ngữ cảnh
What is the name of Pittsburgh's microgrid-powered airport hotel and gas station?,"The name of Pittsburgh's microgrid-powered airport hotel and gas station is the ""Green Gateway Hotel & Gas Station""",2.472100019454956,Không tìm thấy ngữ cảnh
What university maintains a farm campus in the North Hills area?,"University of California, Davis",0.7224056720733643,Không tìm thấy ngữ cảnh
What annual conference hosted in Pittsburgh is known for the energy industry?,The annual conference hosted in Pittsburgh that is known for the energy industry is the Clean Energy Ministerial (CEM),2.2432773113250732,Không tìm thấy ngữ cảnh
What neighborhood is home to the Pittsburgh Playhouse?,"The Pittsburgh Playhouse is located in the Shadyside neighborhood of Pittsburgh, Pennsylvania",1.83784818649292,Không tìm thấy ngữ cảnh
What company dominated local retail from the 1980s to 2000s in Pittsburgh?,Dominant company in Pittsburgh's local retail market during the 1980s to 2000s: Macy's,2.7923221588134766,Không tìm thấy ngữ cảnh
What is the most recent year Amazon Air increased its cargo share at PIT?,Most recent year Amazon Air increased its cargo share at PIT: 2022,1.8615705966949463,Không tìm thấy ngữ cảnh
Which public high school in Pittsburgh focuses on international studies?,High School for the Creative & Performing Arts,1.004399299621582,Không tìm thấy ngữ cảnh
What Pittsburgh university is noted for its Conservatory of Performing Arts?,University of Pittsburgh,0.6930506229400635,Không tìm thấy ngữ cảnh
What religious school in Pittsburgh offers mortuary science programs?,The University of Pittsburgh's Morton School of Funeral Service offers mortuary science programs,1.9068055152893066,Không tìm thấy ngữ cảnh
Which Pittsburgh school is designed for the blind?,The Pittsburgh school designed for the blind is the Pennsylvania School for the Blind,1.6146388053894043,Không tìm thấy ngữ cảnh
Which major global event was hosted in Pittsburgh in 2009?,The major global event hosted in Pittsburgh in 2009 was the G20 summit,1.9974303245544434,Không tìm thấy ngữ cảnh
What Catholic high school in Pittsburgh is for girls only?,St. Joseph High School,0.7313063144683838,Không tìm thấy ngữ cảnh
Which retail chain was founded in Pittsburgh and later bought by Eckerd?,Rite Aid,0.6982829570770264,Không tìm thấy ngữ cảnh
What prestigious business school is part of CMU?,Carnegie Mellon University's Tepper School of Business,1.4536771774291992,Không tìm thấy ngữ cảnh
Which Pittsburgh neighborhood is traditionally associated with Italian heritage?,Little Italy,0.5053284168243408,Không tìm thấy ngữ cảnh
What Pittsburgh high school has a Montessori-based curriculum?,Highland Middle School,0.7051193714141846,Không tìm thấy ngữ cảnh
What is the approximate starting salary for teachers in Pittsburgh (2018)?,"Approximately $45,000",1.1685764789581299,Không tìm thấy ngữ cảnh
Which city-based airline accounted for 50% of all cargo at PIT in 2021?,American Airlines,0.5561513900756836,Không tìm thấy ngữ cảnh
What Pittsburgh-based food company is one of the largest in the world?,HJ Heinz,0.6991803646087646,Không tìm thấy ngữ cảnh
What annual furry convention is held in Pittsburgh?,Pittsburgh Fur Con,0.6510293483734131,Không tìm thấy ngữ cảnh
What public TV show from Pittsburgh became a national icon for children?,Mister Rogers' Neighborhood,1.0657880306243896,Không tìm thấy ngữ cảnh
"What Pittsburgh neighborhood is known as the city's ""Little Italy""?",Little Italy,0.5489416122436523,Không tìm thấy ngữ cảnh
What early 20th-century disaster destroyed over a thousand buildings in Pittsburgh?,Great Daylight Fire of 1937,1.1323323249816895,Không tìm thấy ngữ cảnh
What university has the Heinz College for public policy and information systems?,Carnegie Mellon University,0.9092340469360352,Không tìm thấy ngữ cảnh
What historic Pittsburgh building was known as the world’s first retractable dome stadium?,The historic Pittsburgh building known as the world's first retractable dome stadium is Three Rivers Stadium,2.2032783031463623,Không tìm thấy ngữ cảnh
What Pittsburgh sports team plays at PNC Park?,Pirates,0.5096278190612793,Không tìm thấy ngữ cảnh
What music style was Pittsburgh artist Mary Lou Williams known for?,Jazz,0.43319153785705566,Không tìm thấy ngữ cảnh
What public staircase system is unique to Pittsburgh’s cityscape?,The Duquesne Incline,0.9986960887908936,Không tìm thấy ngữ cảnh
What interactive science and sports center is located in Pittsburgh?,The Carnegie Science Center,0.8569951057434082,Không tìm thấy ngữ cảnh
What African American playwright from Pittsburgh won two Pulitzer Prizes?,August Wilson,0.5404348373413086,Không tìm thấy ngữ cảnh
What Carnegie Mellon building features a sculpture called “Walking to the Sky”?,"The Carnegie Mellon building that features a sculpture called ""Walking to the Sky"" is the University Center Building",2.4236676692962646,Không tìm thấy ngữ cảnh
What is the name of Pittsburgh's main botanical garden?,Phipps Conservatory and Botanical Gardens,1.133103370666504,Không tìm thấy ngữ cảnh
What Pittsburgh art museum is dedicated to a pop art icon born there?,The Andy Warhol Museum,0.7606267929077148,Không tìm thấy ngữ cảnh
What is Pittsburgh’s population according to the 2020 census?,"Pittsburgh's population is approximately 302,400 people",2.364583969116211,Không tìm thấy ngữ cảnh
What is the tallest skyscraper in Pittsburgh?,"The tallest skyscraper in Pittsburgh is the Uptown Tower, standing at a height of 540 feet (164 meters)",2.8716747760772705,Không tìm thấy ngữ cảnh
What major international organization met in Pittsburgh in 2009?,The G20,0.7761688232421875,Không tìm thấy ngữ cảnh
What famous sandwich shop in Pittsburgh includes fries inside the sandwich?,Primantis,0.6160099506378174,Không tìm thấy ngữ cảnh
What river flows westward from downtown Pittsburgh?,The Allegheny River,0.7923192977905273,Không tìm thấy ngữ cảnh
What popular Pittsburgh trail connects to Washington D.C.?,Great Allegheny Passage,0.9027764797210693,Không tìm thấy ngữ cảnh
What Pittsburgh-founded tech startup is known for language learning?,Duolingo,0.6086268424987793,Không tìm thấy ngữ cảnh
What is the oldest Catholic university in Pittsburgh?,Duquesne University,0.6398839950561523,Không tìm thấy ngữ cảnh
What Pittsburgh neighborhood offers panoramic views from a funicular?,Duhauc,0.6030633449554443,Không tìm thấy ngữ cảnh
What is the name of the Pittsburgh public radio affiliate for NPR?,WESA,0.6029436588287354,Không tìm thấy ngữ cảnh
What iconic black-and-gold towel is waved by Steelers fans?,Black and Gold Towel,0.7522079944610596,Không tìm thấy ngữ cảnh
What bridge is often featured in films shot in Pittsburgh?,The Roberto Clemente Bridge,0.7023377418518066,Không tìm thấy ngữ cảnh
What major internet-based university service was founded at CMU?,Carnegie Mellon University (CMU),1.18156099319458,Không tìm thấy ngữ cảnh
What is the name of the CMU college focused on computer science?,The Carnegie Mellon University college focused on computer science is called the School of Computer Science,1.908524751663208,Không tìm thấy ngữ cảnh
What stadium do the Pittsburgh Steelers and Pitt Panthers share?,Heinz Field,0.5971724987030029,Không tìm thấy ngữ cảnh
What street in Pittsburgh’s South Side is known for nightlife?,Sure thing! The street in Pittsburgh's South Side that is known for its nightlife is Station Street,2.038607358932495,Không tìm thấy ngữ cảnh
What is the name of Pittsburgh’s zoo and aquarium?,Pittsburgh Zoo & Aquarium,0.9095654487609863,Không tìm thấy ngữ cảnh
What Pittsburgh company is known for aluminum manufacturing?,Alcoa,0.5604329109191895,Không tìm thấy ngữ cảnh
What science fiction genre was popularized in Pittsburgh?,Science fiction,0.49388623237609863,Không tìm thấy ngữ cảnh
What building at the University of Pittsburgh is known for its nationality rooms?,The Cathedral of Learning,0.8259298801422119,Không tìm thấy ngữ cảnh
What is the name of CMU’s business school?,Carnegie Mellon University's business school is called the Tepper School of Business,1.8158910274505615,Không tìm thấy ngữ cảnh
What popular Pittsburgh-born singer was also a Disney star?,Taylor Hicks,0.574892520904541,Không tìm thấy ngữ cảnh
What early computer program at CMU helped pioneer speech recognition?,Speech Recognition System (SRS),1.1450090408325195,Không tìm thấy ngữ cảnh
What is the name of Pittsburgh’s public school system?,The name of Pittsburgh's public school system is Pittsburgh Public Schools,1.577242136001587,Không tìm thấy ngữ cảnh
What famous literary environmentalist was born near Pittsburgh?,Rachel Carson,0.6323840618133545,Không tìm thấy ngữ cảnh
What is the main newspaper in Pittsburgh?,The main newspaper in Pittsburgh is the Pittsburgh Post-Gazette,1.4888124465942383,Không tìm thấy ngữ cảnh
What sports team plays at Highmark Stadium in Pittsburgh?,The Pittsburgh Steelers play at Highmark Stadium in Pittsburgh,1.4078717231750488,Không tìm thấy ngữ cảnh
What is the term for residents of Pittsburgh who speak the local dialect?,Pittsburgher,0.6059689521789551,Không tìm thấy ngữ cảnh
What jazz musician from Pittsburgh composed “Take the A Train”?,Duke Ellington,0.6061227321624756,Không tìm thấy ngữ cảnh
What Pittsburgh museum displays modern and contemporary art?,The Carnegie Museum of Art,0.8522989749908447,Không tìm thấy ngữ cảnh
What is the name of Pittsburgh's airport?,Pittsburgh International Airport,0.6443233489990234,Không tìm thấy ngữ cảnh
What dance company from Pittsburgh was featured on Dance Moms?,Abby Lee Dance Company,0.7097740173339844,Không tìm thấy ngữ cảnh
What well-known Pittsburgh landmark forms the city’s “Golden Triangle”?,The Andy Warhol Museum,0.7540018558502197,Không tìm thấy ngữ cảnh
What regional slang term do Pittsburghers use for “rubber bands”?,"In Pittsburgh, people use the term ""erase"" to refer to rubber bands",1.882667064666748,Không tìm thấy ngữ cảnh
What pioneering environmental engineering institute is located at CMU?,Carnegie Mellon University's (CMU) Environmental Engineering Institute,1.615800380706787,Không tìm thấy ngữ cảnh
What major amusement park is located just outside Pittsburgh?,Kennywood,0.5639758110046387,Không tìm thấy ngữ cảnh
What famous glass skyscraper complex is located in downtown Pittsburgh?,Duoluxe Tower,0.7322273254394531,Không tìm thấy ngữ cảnh
What Pittsburgh museum is affiliated with the Smithsonian Institution?,The Carnegie Museum of Natural History,0.9431545734405518,Không tìm thấy ngữ cảnh
What river borders the Strip District in Pittsburgh?,The Allegheny River,0.8286809921264648,Không tìm thấy ngữ cảnh
What university in Pittsburgh has a dedicated School of Drama?,Carnegie Mellon University,0.8413169384002686,Không tìm thấy ngữ cảnh
What ethnic food is Pittsburgh especially known for?,Pittsburgh is especially known for its pierogies,1.1281182765960693,Không tìm thấy ngữ cảnh
What is the name of Pittsburgh’s NHL hockey team?,Penguins,0.5987157821655273,Không tìm thấy ngữ cảnh
"Which famous rapper from Pittsburgh released ""Black and Yellow""?",Wiz Khalifa,0.7391023635864258,Không tìm thấy ngữ cảnh
What color scheme is shared by all of Pittsburgh’s major sports teams?,Black and gold,0.7019314765930176,Không tìm thấy ngữ cảnh
What Pittsburgh neighborhood is home to a strong Jewish community and about 20 synagogues?,Squirrel Hill,0.7575738430023193,Không tìm thấy ngữ cảnh
What historic arena in Pittsburgh was known as “The Igloo”?,The Igloo,0.7497694492340088,Không tìm thấy ngữ cảnh
What city park in Pittsburgh has 664 acres of woodland and hiking trails?,Sure! The city park in Pittsburgh with 664 acres of woodland and hiking trails is Frick Park,2.399784564971924,Không tìm thấy ngữ cảnh
What Pittsburgh-based company is a Fortune 500 firm in the financial sector?,PNC Financial Services Group,0.8935666084289551,Không tìm thấy ngữ cảnh
Which Pittsburgh-based sports team has won six Super Bowls?,Steelers,0.6061067581176758,Không tìm thấy ngữ cảnh
What high-tech industry is Pittsburgh now known for besides healthcare?,Artificial intelligence (AI),0.8792934417724609,Không tìm thấy ngữ cảnh
Which Pittsburgh university has a dedicated institute for AI and robotics?,Carnegie Mellon University,0.9604194164276123,Không tìm thấy ngữ cảnh
What is the tallest building in Pittsburgh?,"The tallest building in Pittsburgh is the Uptown Tower, which stands at a height of 540 feet (164 meters)",2.5900745391845703,Không tìm thấy ngữ cảnh
What iconic Pittsburgh view is visible from Mount Washington?,The Monongahela Incline,1.0159165859222412,Không tìm thấy ngữ cảnh
What nonprofit arts event in Pittsburgh includes live performances and booths each summer?,The nonprofit arts event in Pittsburgh that includes live performances and booths each summer is called ArtsFest,2.193767786026001,Không tìm thấy ngữ cảnh
What architectural feature is unique to many streets in Pittsburgh neighborhoods?,Steep hillsides,0.6904528141021729,Không tìm thấy ngữ cảnh
What popular phrase is used to describe the Pittsburgh dialect?,Yinz,0.7090890407562256,Không tìm thấy ngữ cảnh
What iconic horror film genre started in Pittsburgh?,Night of the Living Dead,0.7009904384613037,Không tìm thấy ngữ cảnh
"What music genre is George Benson, a Pittsburgh native, known for?",Jazz,0.4615616798400879,Không tìm thấy ngữ cảnh
What educational science center is part of Carnegie Science Center in Pittsburgh?,"The educational science center that is part of Carnegie Science Center in Pittsburgh is called the ""Science Center.""",2.087920904159546,Không tìm thấy ngữ cảnh
"What Pittsburgh facility houses over 44,000 steps across 800 stairways?",The Andy Warhol Museum,0.76228928565979,Không tìm thấy ngữ cảnh
